DATE,PASSENGERS
2000-01-01,1112278.0
2000-02-01,1188363.0
2000-03-01,1464839.0
2000-04-01,1474786.0
2000-05-01,1591773.0
2000-06-01,1605936.0
2000-07-01,1650068.0
2000-08-01,1672109.0
2000-09-01,1441775.0
2000-10-01,1584089.0
2000-11-01,1561349.0
2000-12-01,1428248.0
2001-01-01,1371649.0
2001-02-01,1328449.0
2001-03-01,1626361.0
2001-04-01,1695357.0
2001-05-01,1732366.0
2001-06-01,1784893.0
2001-07-01,1832797.0
2001-08-01,1919041.0
2001-09-01,1074564.0
2001-10-01,1493973.0
2001-11-01,1411950.0
2001-12-01,1336913.0
2002-01-01,1190914.0
2002-02-01,1179455.0
2002-03-01,1547646.0
2002-04-01,1508813.0
2002-05-01,1642777.0
2002-06-01,1664284.0
2002-07-01,1708363.0
2002-08-01,1745634.0
2002-09-01,1328430.0
2002-10-01,1515862.0
2002-11-01,1378467.0
2002-12-01,1451729.0
2003-01-01,1274763.0
2003-02-01,1108953.0
2003-03-01,1491603.0
2003-04-01,1553595.0
2003-05-01,1671949.0
2003-06-01,1736370.0
2003-07-01,1887051.0
2003-08-01,1843692.0
2003-09-01,1425080.0
2003-10-01,1675460.0
2003-11-01,1548556.0
2003-12-01,1549524.0
2004-01-01,1341363.0
2004-02-01,1371546.0
2004-03-01,1705109.0
2004-04-01,1784989.0
2004-05-01,1795454.0
2004-06-01,1825733.0
2004-07-01,1845861.0
2004-08-01,1772323.0
2004-09-01,1378330.0
2004-10-01,1586067.0
2004-11-01,1512409.0
2004-12-01,1452700.0
2005-01-01,1332781.0
2005-02-01,1248683.0
2005-03-01,1649916.0
2005-04-01,1543614.0
2005-05-01,1674301.0
2005-06-01,1698562.0
2005-07-01,1845761.0
2005-08-01,1795059.0
2005-09-01,1497668.0
2005-10-01,1613464.0
2005-11-01,1588104.0
2005-12-01,1487070.0
2006-01-01,1379212.0
2006-02-01,1331970.0
2006-03-01,1703042.0
2006-04-01,1723153.0
2006-05-01,1807567.0
2006-06-01,1842856.0
2006-07-01,1881569.0
2006-08-01,1847586.0
2006-09-01,1549667.0
2006-10-01,1694795.0
2006-11-01,1635635.0
2006-12-01,1520095.0
2007-01-01,1388415.0
2007-02-01,1290373.0
2007-03-01,1646986.0
2007-04-01,1705540.0
